concept_id	standard_concept	codeset	codes
N_c522	pharyngitis	SNOMED-CT	 109362006, 111277007, 111816002, 11461005, 126664009, 13177009, 140004, 14465002, 1532007, 164260005, 17741008, 186659004, 186675001, 186963008, 195655000, 195656004, 195657008, 195658003, 195659006, 195660001, 195662009, 195663004, 195666007, 195667003, 195668008, 195669000, 195670004, 195671000, 195672007, 195673002, 195676005, 195677001, 195707008, 195779005, 195780008, 195782000, 195798007, 195803003, 195804009, 195924009, 2091005, 23166004, 232399005, 232400003, 232401004, 232402006, 232403001, 232404007, 232405008, 232406009, 232417005, 232420002, 234528007, 2365002, 240444009, 240547000, 24078009, 27878001, 300932000, 302911003, 312422001, 31309002, 363746003, 39271004, 399095008, 405737000, 40766000, 415724006, 41582007, 43878008, 47841006, 51209006, 51476001, 55355000, 58031004, 59221008, 59471009, 63866002, 652005, 70020005, 72430001, 76651006, 78430008, 78911000, 82228008, 87326000, 90176007, 90979004, 95885008,102453009,10351008
N_c291	Quinolones	RxNorm	 198044, 198048, 198049, 198050, 199370, 199886, 240639, 240640, 250095, 259311, 309304, 309308, 309309, 309310, 310445, 311296, 311364, 311787, 313522, 313523, 314009, 315065, 351156, 359383, 403921, 477391, 597446, 637560, 644541, 794769, 877486,197511,197512
N_c292	Second generation cephalosporins	RxNorm	 197449 , 197452 , 197453 , 197898 , 197899 , 204929 , 245239 , 309040 , 309041 , 309042 , 309043 , 309044 , 309045 , 309080 , 309081 , 309095 , 309096 , 309097 , 309098 , 309099 , 309100 , 309101 , 309103 , 311370 , 311371 , 313888 , 313926 , 349507 , 349508 , 387065 , 387066 , 476322 , 476325 , 476327 , 476623,105189
N_c293	Sulfonamides	RxNorm	 198334, 198335, 198420 , 246252 , 312340 , 313134 , 313137, 315219 , 413716 , 648254, 686383, 756189, 894883,142118,198235 
N_c294	Tetracycline	RxNorm	 105227 , 197633 , 197984 , 197985 , 198249 , 198250 , 198252 , 199026 , 199027 , 207362 , 207364 , 242807 , 242814 , 283535 , 310026 , 310027 , 310028 , 310029 , 310030 , 313251 , 313252 , 313253 , 313254 , 314108 , 317127 , 348869 , 348870 , 349114 , 349115 , 349116 , 351121 , 359465 , 403840 , 406524 , 434018 , 597520 , 597521 , 597808 , 629695 , 629697 , 629699 , 630819 , 630824 , 630827 , 643821 , 645613 , 645614 , 645619 , 647109 , 687231 , 700408 , 705861 , 728207 , 756134 , 756192 , 799048 , 858062 , 858065 , 858372 , 858375,105220
N_c295	Third generation cephalosporins	RxNorm	 197451 , 200346 , 204871 , 250156 , 309054 , 309058 , 309076 , 309077 , 309078 , 309079 , 309085 , 309086 , 309087 , 309090 , 309091 , 309092 , 309093 , 351127 , 419849 , 476576 , 562619 , 645956 , 746671 , 847360,197450
N_c607	alcohol or drug dependence	ICD-10-CM	 F10.22, F11, F12, F13, F14, F15, F16, F17, F18, F19, F19.12, F19.14, F19.15, F19.16, F19.17, F19.18, F19.24, F19.25, F19.29, F19.9, K29.2, K70.1,F10,F10.2
N_c606	alcohol or drug dependence	ICD-9-CM	 291.1, 291.2, 291.3, 291.4, 291.5, 291.8, 291.81, 291.82, 291.89, 291.9, 292, 292.0, 292.1, 292.11, 292.12, 292.2, 292.8, 292.81, 292.82, 292.83, 292.84, 292.85, 292.89, 292.9, 303.00, 303.01, 303.02, 303.90, 303.91, 303.92, 304.00, 304.01, 304.02, 304.10, 304.11, 304.12, 304.20, 304.21, 304.22, 304.30, 304.31, 304.32, 304.40, 304.41, 304.42, 304.50, 304.51, 304.52, 304.60, 304.61, 304.62, 304.70, 304.71, 304.72, 304.80, 304.81, 304.82, 304.90, 304.91, 304.92, 305.00, 305.01, 305.02, 305.20, 305.21, 305.22, 305.30, 305.31, 305.32, 305.40, 305.41, 305.42, 305.50, 305.51, 305.52, 305.60, 305.61, 305.62, 305.70, 305.71, 305.72, 305.80, 305.81, 305.82, 305.90, 305.91, 305.92, 535.3, 535.30, 535.31, 571.1,291,291.0
N_c600	alcohol or drug dependence	SNOMED-CT	 191816009, 191819002, 191820008, 191825003, 191826002, 191829009, 191831000, 191832007, 191837001, 191838006, 191839003, 191849000, 191850000, 191853003, 191855005, 191856006, 191865004, 191867007, 191868002, 191869005, 191871005, 191873008, 191874002, 191875001, 191877009, 199255000, 21647008, 231468005, 231469002, 231470001, 231472009, 231473004, 231474005, 231475006, 231477003, 231478008, 231479000, 231480002, 231481003, 231482005, 237228001, 2403008, 267206008, 268640002, 268641003, 31956009, 38247002, 426001001, 426873000, 427327003, 429299000, 441681009, 442406005, 5002000, 51339003, 56294008, 58727001, 66590003, 7200002, 75544000, 85005007, 87858002,191811004,191812006
N_c626	Alcohol, drug rehab and detox interventions	ICD-9-CM	 94.64, 94.66, 94.67, 94.69,94.61,94.63
N_c602	Alcohol, drug rehab and detox interventions	SNOMED-CT	 35637008, 52052004, 56876005, 62213004, 78092008,20093000,23915005
N_c627	Detoxification interventions	ICD-9-CM	 94.68,94.62,94.65
N_c630	Detoxification interventions	SNOMED-CT	67516001
N_c26	encounter acute inpt	CPT	 99223, 99231, 99232, 99233, 99238, 99239, 99251, 99252, 99253, 99254, 99255, 99291,99221,99222
N_c28	encounter non-acute inpatient	CPT	 99306, 99307, 99308, 99309, 99310, 99315, 99316, 99318, 99324, 99325, 99326, 99327, 99328, 99334, 99335, 99336, 99337,99304,99305
N_c603	encounter outpatient BH	CPT	 90806, 90807, 90808, 90809, 90810, 90811, 90812, 90813, 90814, 90815, 98960, 98961, 98962, 99078, 99201, 99202, 99203, 99204, 99205, 99211, 99212, 99213, 99214, 99215, 99217, 99218, 99219, 99220, 99241, 99242, 99243, 99244, 99245, 99341, 99342, 99343, 99344, 99345, 99347, 99348, 99349, 99350, 99384, 99385, 99386, 99387, 99394, 99395, 99396, 99397, 99401, 99402, 99403, 99404, 99408, 99409, 99411, 99412, 99510,90804,90805
N_c604	encounter outpt BH req POS	CPT	 90816, 90817, 90818, 90819, 90821, 90822, 90823, 90824, 90826, 90827, 90828, 90829, 90845, 90847, 90849, 90853, 90857, 90862, 90875, 90876, 99221, 99222, 99223, 99231, 99232, 99233, 99238, 99239, 99251, 99252, 99253, 99254, 99255,90801,90802
N_c605	Encounter point of service modifier	CPT	 07, 09, 11, 12, 13, 14, 15, 20, 22, 33, 49, 50, 52, 53, 57, 71, 72,03,05
A_c88	Delivery Live Births-Diagnosis	ICD-10-CM	 I10, N96, O10.2, O10.21, O10.211, O10.212, O10.213, O10.219, O10.41, O10.412, O10.413, O10.419, O13, O14, O14.00, O14.02, O14.03, O15, O15.0, O15.00, O15.02, O15.03, O16, O16.1, O16.2, O16.3, O16.9, O21.2, O21.8, O24, O26, O26.0, O26.5, O26.6, O26.82, O26.83, O26.84, O26.85, O30, O30.0, O30.1, O30.2, O30.9, O31.0, O31.2, O31.20, O31.3, O32, O32.1, O32.2, O32.3, O32.4, O33, O33.0, O33.1, O33.2, O33.4, O33.5, O33.6, O33.7, O33.8, O33.9, O34.0, O34.1, O34.3, O34.4, O34.5, O34.52, O34.59, O34.6, O34.7, O34.8, O35, O35.1, O35.2, O35.3, O35.5, O35.6, O35.8, O36.0, O36.1, O36.5, O36.6, O36.81, O41, O43.1, O43.8, O44, O44.1, O45, O45.01, O45.011, O45.012, O45.013, O46, O48.0, O48.1, O60.10, O61, O61.1, O61.8, O61.9, O62.0, O62.1, O62.2, O62.3, O62.4, O62.9, O63.0, O63.1, O63.2, O63.9, O64.0, O64.4, O64.9, O65, O65.8, O66.0, O66.1, O66.4, O66.5, O66.8, O66.9, O69.0, O69.1, O69.2, O69.3, O69.4, O69.5, O69.8, O69.9, O70.0, O70.1, O70.2, O70.3, O70.9, O71, O71.1, O71.3, O71.4, O71.5, O71.7, O71.8, O71.9, O72.0, O72.1, O72.2, O72.3, O73, O73.1, O74, O74.1, O74.2, O74.3, O74.8, O74.9, O75.0, O75.1, O75.2, O75.3, O75.5, O77, O90.4, O90.8, O90.89, O98, O98.01, O98.1, O98.2, O98.211, O98.212, O98.213, O98.219, O98.3, O98.31, O98.8, O99, O99.32, O99.33, O99.4, O99.81, O99.810, O99.814, O99.815, P01.1, P01.2, P01.3, P02.1, P03.2, P03.3, P03.4, P03.9, P29, P29.8, P39.2,E07,F10
A_c87	Delivery Live Births-Diagnosis	ICD-9-CM	 641.21, 641.31, 641.81, 641.91, 642.01, 642.02, 642.11, 642.12, 642.21, 642.22, 642.31, 642.32, 642.41, 642.42, 642.51, 642.52, 642.61, 642.62, 642.71, 642.72, 642.91, 642.92, 643.21, 643.81, 644.21, 645.11, 645.21, 646.01, 646.11, 646.12, 646.21, 646.22, 646.31, 646.41, 646.42, 646.71, 646.91, 647.01, 647.02, 647.11, 647.12, 647.21, 647.22, 647.31, 647.32, 647.41, 647.42, 647.51, 647.52, 647.61, 647.62, 647.81, 647.82, 647.91, 647.92, 648.01, 648.02, 648.11, 648.12, 648.21, 648.22, 648.31, 648.32, 648.41, 648.42, 648.51, 648.52, 648.61, 648.62, 648.71, 648.72, 648.81, 648.82, 648.91, 648.92, 649.01, 649.02, 649.11, 649.12, 649.21, 649.22, 649.31, 649.32, 649.41, 649.42, 649.51, 649.61, 649.62, 65.621, 651.01, 651.11, 651.21, 651.31, 651.41, 651.51, 651.61, 651.71, 651.81, 651.91, 652.01, 652.11, 652.21, 652.31, 652.41, 652.51, 652.61, 652.71, 652.81, 652.91, 653.01, 653.11, 653.21, 653.31, 653.41, 653.51, 653.61, 653.71, 653.81, 653.91, 654.01, 654.02, 654.11, 654.12, 654.31, 654.32, 654.41, 654.42, 654.51, 654.52, 654.61, 654.62, 654.71, 654.72, 654.81, 654.82, 654.91, 654.92, 655.01, 655.11, 655.21, 655.31, 655.41, 655.51, 655.61, 655.71, 655.81, 655.91, 656.01, 656.11, 656.31, 656.51, 656.61, 656.71, 656.81, 656.91, 657.01, 658.01, 658.11, 658.21, 658.31, 658.41, 658.81, 658.91, 659.01, 659.11, 659.21, 659.31, 659.41, 659.51, 659.61, 659.71, 659.81, 659.91, 660.01, 660.11, 660.21, 660.31, 660.41, 660.51, 660.61, 660.71, 660.81, 660.91, 661.01, 661.11, 661.21, 661.31, 661.41, 661.91, 662.01, 662.11, 662.21, 662.31, 663.01, 663.11, 663.21, 663.31, 663.41, 663.51, 663.61, 663.81, 663.91, 664.01, 664.11, 664.21, 664.31, 664.41, 664.51, 664.61, 664.81, 664.91, 665.01, 665.11, 665.31, 665.41, 665.51, 665.61, 665.71, 665.72, 665.81, 665.91, 665.92, 666.02, 666.12, 666.22, 666.32, 667.02, 667.12, 668.01, 668.02, 668.11, 668.12, 668.21, 668.22, 668.81, 668.82, 668.91, 668.92, 669.01, 669.02, 669.11, 669.12, 669.21, 669.22, 669.32, 669.41, 669.42, 669.51, 669.61, 669.71, 669.81, 669.82, 669.91, 669.92,641.01,641.11
A_c442	Delivery Live Births-Diagnosis	SNOMED-CT	 102502005, 102503000, 102879009, 112071002, 112075006, 118185001, 118215003, 118216002, 13859001, 15898009, 169826009, 169828005, 169831006, 169836001, 169961004, 17333005, 199314001, 199317008, 199321001, 199325005, 199329004, 199330009, 199331008, 199334000, 199714004, 199718001, 200129000, 200130005, 200133007, 200134001, 200138003, 200141007, 200142000, 200144004, 200145003, 200146002, 200147006, 200148001, 200149009, 200150009, 200151008, 200154000, 20236002, 20272009, 21127004, 21243004, 23667007, 237313003, 24146004, 249032005, 249037004, 249141002, 249145006, 249161008, 249162001, 249195007, 267278005, 271368004, 271369007, 271370008, 271373005, 273984003, 274124007, 274125008, 274127000, 274128005, 274129002, 278094007, 278095008, 278096009, 28030000, 281050002, 281052005, 282020008, 288209009, 288210004, 288265000, 288266004, 289210008, 289216002, 289217006, 289218001, 289222006, 289223001, 289224007, 289226009, 289227000, 289228005, 289229002, 289230007, 289231006, 289232004, 289233009, 289234003, 289235002, 289236001, 289237005, 289238000, 289242002, 289247008, 289253008, 289256000, 289257009, 289258004, 289259007, 289261003, 289574008, 289699001, 289740006, 289762006, 289763001, 29997008, 302080006, 302253005, 302254004, 309469004, 35874009, 364738009, 366327005, 366328000, 366329008, 38250004, 390959009, 42783002, 42857002, 45384004, 45757002, 47574003, 48782003, 4886009, 49550006, 50758004, 52483005, 55466006, 58289000, 59403008, 6383007, 6893006, 71096001, 7888004, 8333008, 86803008, 90306000, 9343003,102500002,102501003
A_c112	Delivery Live Births-Procedure	CPT	 59410, 59425, 59426, 59510, 59514, 59515, 59610, 59612, 59614, 59618, 59620, 59622,59400,59409
A_c89	Delivery Live Births-Procedure	SNOMED-CT	 15413009, 164817009, 169224002, 169225001, 169228004, 169229007, 169230002, 169235007, 169668007, 169669004, 169670003, 177152009, 177154005, 177157003, 177158008, 177161009, 177162002, 177164001, 177167008, 177168003, 177170007, 177171006, 177173009, 177174003, 177175002, 177176001, 177177005, 177179008, 177180006, 177181005, 177184002, 177185001, 177188004, 177203002, 177204008, 177205009, 177212000, 17860005, 1807002, 182619004, 18489003, 18625004, 19390001, 21623001, 22633006, 2321005, 236973005, 236974004, 236975003, 236976002, 236978001, 236980007, 236981006, 236982004, 236983009, 236984003, 236991000, 236992007, 236994008, 237311001, 241491007, 241493005, 241494004, 25296001, 25828002, 26313002, 265639000, 268445003, 271442007, 275168001, 275169009, 28542003, 287976008, 287977004, 288193006, 288194000, 28860009, 29613008, 302382009, 302383004, 302384005, 30476003, 306727001, 307813007, 315308008, 31998007, 33807004, 359940006, 359943008, 384729004, 38479009, 386622003, 386637004, 387711001, 40219000, 40704000, 40792007, 408814002, 408815001, 408819007, 414880004, 416055001, 417121007, 418090003, 425551008, 426295007, 426840007, 427623005, 430063002, 430064008, 432246004, 433153009, 4504004, 45718005, 46972000, 48204000, 5191001, 54973000, 55052008, 5556001, 56620000, 58705005, 61027002, 61586001, 62508004, 62688006, 63407004, 65243006, 66201006, 69162008, 69422002, 69621003, 71166009, 72492007, 75928003, 79966006, 85403009, 85548006, 86599005, 89346004, 89849000, 90438006,10745001,14119008
A_c517	Estimated date of conception	SNOMED-CT	248986005
A_c464	HIV	ICD-10-CM	 O98.711, O98.712, O98.713, O98.714, O98.72,O98.7,O98.71
A_c463	HIV	ICD-9-CM	042,V08
A_c462	HIV	SNOMED-CT	 186707002, 186708007, 186709004, 186717007, 186718002, 186719005, 186721000, 186723002, 186725009, 186726005, 230180003, 230201009, 230598008, 235009000, 235726002, 236406007, 240103002, 240611008, 276665006, 276666007, 281390005, 315019000, 359791000, 397763006, 398329009, 402915006, 402916007, 40780007, 416491000, 48794007, 52079000, 5810003, 62246005, 62479008, 77070006, 79019005, 86406008, 87117006, 91923005, 91947003, 91948008, 95892003,111880001,186706006
A_c165	HIV Screening	CPT	 87534, 87535, 87536, 87537, 87538, 87539,87390,87391
A_c166	HIV Screening	LOINC	 35439-9, 35440-7, 35441-5, 35442-3, 35443-1, 35444-9, 35445-6, 35446-4, 35447-2, 35448-0, 35449-8, 35450-6, 35452-2, 35564-4, 35565-1, 38998-1, 40437-6, 40438-4, 40439-2, 40732-0, 40733-8, 41143-9, 41144-7, 41145-4, 41290-8, 41497-9, 41498-7, 41513-3, 41514-1, 41515-8, 41516-6, 42339-2, 42600-7, 42627-0, 42768-2, 42917-5, 43008-2, 43009-0, 43010-8, 43011-6, 43012-4, 43013-2, 5017-9, 5018-7, 5220-9, 5221-7, 5222-5, 5223-3, 5224-1, 5225-8, 7917-8, 7918-6, 7919-4, 9660-2, 9661-0, 9662-8, 9663-6, 9664-4, 9665-1, 9666-9, 9667-7, 9668-5, 9669-3, 9821-0, 9836-8, 9837-6,35437-3,35438-1
A_c167	HIV Screening	SNOMED-CT	 117749009, 117750009, 117751008, 118018009, 118038005, 118039002, 118040000, 118041001, 118042008, 118043003, 118044009, 118045005, 118046006, 118047002, 118048007, 118049004, 118050004, 118051000, 118052007, 118053002, 118054008, 118055009, 118056005, 118057001, 118058006, 118059003, 118060008, 118061007, 118062000, 118063005, 118064004, 118065003, 118066002, 118067006, 118068001, 118069009, 118070005, 118071009, 118072002, 118073007, 118074001, 118075000, 118076004, 25578009, 27494001, 28804003, 31676001, 390786002, 399256002, 409788009, 49914005, 50806003, 53479004, 74915004, 76381007, 86253009,104332002,117747006
A_c313	Medical reason	HL7	 21738, 21745, 21747, 21815, 21990, 22259, 22261, 22855,21703,21704
A_c311	Patient reason	HL7	 19729, 21708, 21710, 21741, 21743, 21746, 22260, 22851,14880,15985
A_c328	Prenatal Visit	ICD-10-CM	 Z34.8  , Z34.9  ,Z34.0  ,Z34  
A_c466	Prenatal Visit	ICD-9-CM	 V22.2,V22.0,V22.1
A_c338	Prenatal Visit	SNOMED-CT	424441002,424619006
A_c138	Diastolic Blood Pressure	SNOMED-CT	 23154005, 251073000, 271650006, 314451001, 314452008, 314453003, 314454009, 314455005, 314456006, 314457002, 314458007, 314459004, 314460009, 314461008, 314462001, 314465004, 315613000, 400975005, 407555005, 407557002, 42689008, 53813002,163031004,174255007
A_c28	Encounter Nursing Facility	CPT	 99306, 99307, 99308, 99309, 99310,99304,99305
A_c26	Encounter Outpatient	CPT	 99203, 99204, 99205, 99212, 99213, 99214, 99215, 99241, 99242, 99243, 99244, 99245, 99324, 99325, 99326, 99327, 99328, 99334, 99335, 99336, 99337, 99341, 99342, 99343, 99344, 99345, 99347, 99348, 99349, 99350,99201,99202
A_c70	Hypertension	ICD-10-CM	 I13, I13.0, I13.10, I13.2,I10,I11
A_c69	Hypertension	ICD-9-CM	 401.9, 402.00, 402.01, 402.10, 402.11, 402.90, 402.91, 403.00, 403.01, 403.10, 403.11, 403.90, 403.91, 404.00, 404.01, 404.02, 404.03, 404.10, 404.11, 404.12, 404.13, 404.90, 404.91, 404.92, 404.93,401.0,401.1
A_c71	Hypertension	SNOMED-CT	 111438007, 1201005, 123799005, 123800009, 14973001, 15394000, 15938005, 16147005, 169465000, 18416000, 193003, 194774006, 194783001, 194785008, 194788005, 194791005, 194793008, 19769006, 198941007, 198942000, 198944004, 198945003, 198946002, 198947006, 198949009, 198951008, 198952001, 198953006, 198954000, 198956003, 198958002, 198959005, 198965005, 198966006, 198967002, 198968007, 198997005, 198999008, 199000005, 199002002, 199003007, 199005000, 199007008, 199008003, 206596003, 23130000, 23717007, 237279007, 237281009, 237282002, 23786008, 24042004, 26078007, 276789009, 28119000, 288250001, 29259002, 307632004, 308551004, 31407004, 31992008, 32916005, 34694006, 35303009, 367390009, 371125006, 37618003, 38481006, 39018007, 39727004, 397748008, 398254007, 41114007, 427889009, 428575007, 429198000, 429457004, 46481004, 46764007, 48146000, 48194001, 48552006, 49220004, 50490005, 52698002, 56218007, 57684003, 59621000, 59720008, 59997006, 62275004, 63287004, 65402008, 65443008, 65518004, 67359005, 70272006, 71874008, 72022006, 73030000, 73410007, 74451002, 78544004, 78808002, 78975002, 81626002, 8218002, 84094009, 86041002, 86234004, 8762007, 89242004, 9901000,10562009,10725009
A_c137	Systolic Blood Pressure	SNOMED-CT	 251070002, 251071003, 271649006, 314438006, 314439003, 314440001, 314441002, 314442009, 314443004, 314444005, 314445006, 314446007, 314447003, 314448008, 314449000, 314464000, 315612005, 399304008, 400974009, 407554009, 407556006, 72313002, 81010002,12929001,163030003
A_c161	Anti-D Immune Globulin	RxNorm	 247769 , 351100, 406388 , 562566 , 616759 , 731378 , 731381,205066
A_c479	Anti-D Immune Globulin Declined	SNOMED-CT	408786004
A_c537	D(Rh) Negative	ICD-10-CM	 036.0132, 036.0133, 036.0134, 036.0135, 036.0139, O36.0120, O36.0121, O36.0122, O36.0123, O36.0124, O36.0125, O36.0129,036.0130,036.0131
A_c538	D(Rh) Negative	ICD-9-CM	656.10,656.11
A_c536	D(Rh) Negative	SNOMED-CT	 278152006, 278153001, 278154007, 428309004,165746003,278148006
A_c335	Multigravida	SNOMED-CT	 127366009, 127367000, 127368005, 127369002, 127370001, 127371002, 127372009, 127373004, 127374005, 17618008, 443460007, 6867004, 80856001, 82634006,102876002,127365008
A_c334	Primigravida	SNOMED-CT	 29399001,127364007,199719009
A_c337	Rh Status BABY	LOINC	 14906-2, 14907-0, 14908-8, 17531-5, 34961-3,10331-7,1314-4
A_c336	Rh Status Mother	LOINC	 14906-2, 14907-0, 14908-8, 17531-5, 34961-3,10331-7,1314-4
A_c310	System reason	HL7	 19731, 19733, 19734, 19735, 19736, 19987, 19988, 19989, 19990, 21408, 21493, 21568, 21706, 21707, 21709, 21728, 21729, 21730, 21731, 21732, 21733, 21734, 21735, 21744, 22023, 22024, 22165, 22166, 22167, 22168, 22169, 22857, 22858, 22859, 22865, 22866, 22867, 22907, 22909, 22911, 22912, 22913,19730
N_c153	diastolic blood pressure	SNOMED-CT	 23154005, 251073000, 271650006, 314451001, 314452008, 314453003, 314454009, 314455005, 314456006, 314457002, 314458007, 314459004, 314460009, 314461008, 314462001, 314465004, 315613000, 400975005, 407555005, 407557002, 42689008, 53813002,163031004,174255007
N_c102	ESRD	ICD-10-CM	 Z49, Z49.0, Z49.01, Z49.02, Z94, Z94.0, Z98,N18.5,N18.6
N_c100	ESRD	ICD-9-CM	 39.42, 39.43, 39.53, 39.93, 39.94, 39.95, 54.98, 55.6, 55.61, 55.69, 585.5, 585.6, V42.0, V45.1, V45.11, V45.12, V56, V56.0, V56.1, V56.2, V56.3, V56.31, V56.32, V56.8,38.95,39.27
N_c321	ESRD	SNOMED-CT	 236434000, 236435004, 236436003,194780003,194781004
N_c95	hypertension	ICD-10-CM	I10
N_c92	hypertension	ICD-9-CM	 401.1, 401.9,401,401.0
N_c190	hypertension	SNOMED-CT	 1201005, 1474004, 14973001, 15394000, 15938005, 16147005, 169465000, 18416000, 193003, 194774006, 194779001, 194785008, 194787000, 194788005, 194791005, 19769006, 198941007, 198942000, 198943005, 198944004, 198945003, 198946002, 198947006, 198965005, 198966006, 198967002, 198968007, 198983002, 198984008, 198985009, 198986005, 22966008, 23130000, 23717007, 237279007, 237282002, 237283007, 23786008, 24042004, 26078007, 267200002, 276789009, 288250001, 303063000, 307632004, 308551004, 31992008, 371125006, 38341003, 397748008, 398254007, 427889009, 428575007, 429198000, 429457004, 48146000, 48194001, 52698002, 56218007, 59621000, 59720008, 59997006, 62275004, 63287004, 65518004, 70272006, 71874008, 72022006, 73030000, 78975002, 8218002, 84094009, 86041002, 8762007, 89242004, 9901000,10725009,11511004
N_c125	pregnancy	ICD-10-CM	 O00.0, O00.1, O00.2, O00.8, O01.9, O02.9, O03, O04.5, O04.6, O04.8, O07, O08, O10, O20, O30, O33.7, O35, O36.89, O40, O41.0, O46, O62.9, O63, O64, O65, O65.4, O69, O70, O71, O72, O72.0, O74, O75, O80, O85, O86.4, O87, O88, O90.8, O91, O91.0, O91.01, O98, O99, O99.8,002.1,O00
