standard_concept_id	standard_concept	standard_category	measures
standard_concept_id	standard_concept	standard_category	measures
N_c100		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c321		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c478		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c95		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c92		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c190		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c451		Diagnosis / Condition / Problem	["diagnosis active"]	["0018", "0024"]
N_c125		Diagnosis / Condition / Problem	["diagnosis active"]	["0018", "0024"]
N_c124		Diagnosis / Condition / Problem	["diagnosis active"]	["0018", "0024"]
N_c204		Diagnosis / Condition / Problem	["diagnosis active"]	["0018", "0024"]
N_c97		Procedure	["procedure performed"]	["0018"]
N_c480		Procedure	["procedure performed"]	["0018"]
N_c99		Procedure	["procedure performed"]	["0018"]
N_c394		Physical exam	["physical exam finding"]	["0018", "0061", "0073"]
N_c448		Physical exam	["physical exam finding"]	["0024"]
N_c165		Physical exam	["physical exam finding"]	["0024"]
N_c160		Physical exam	["physical exam finding"]	["0024"]
N_c166		Physical exam	["physical exam finding"]	["0024"]
N_c161		Communication	["communication to patient"]	["0024"]
N_c449		Communication	["communication to patient"]	["0024"]
N_c163		Communication	["communication to patient"]	["0024"]
N_c164		Communication	["communication to patient"]	["0024"]
N_c162		Communication	["communication to patient"]	["0024"]
N_c450		Communication	["communication to patient"]	["0024"]
N_c168		Communication	["communication to patient"]	["0024"]
N_c169		Communication	["communication to patient"]	["0024"]
N_c167		Communication	["communication to patient"]	["0024"]
N_c417		Encounter	["encounter"]	["0024", "0032", "0038"]
N_c442		Encounter	["encounter"]	["0024", "0038"]
N_c205		Encounter	["encounter"]	["0024", "0038"]
N_c543		Encounter	["encounter"]	["0024", "0033"]
N_c552		Encounter	["encounter"]	["0027", "0031", "0032", "0033", "0034", "0036", "0043"]
N_c127		Encounter	["encounter"]	["0027"]
N_c42		Communication	["communication to patient"]	["0027"]
N_c128		Physical exam	["physical exam finding"]	["0027"]
A_c105		Encounter	["encounter"]	["0028-a", "0028-b"]
A_c102		Encounter	["encounter"]	["0028-a", "0028-b"]
A_c114		Encounter	["encounter"]	["0028-a", "0028-b", "0385", "0387"]
A_c107		Encounter	["encounter"]	["0028-a", "0028-b", "0041"]
A_c108		Encounter	["encounter"]	["0028-a", "0028-b", "0041"]
A_c104		Encounter	["encounter"]	["0028-a", "0028-b"]
A_c106		Encounter	["encounter"]	["0028-a", "0028-b", "0041"]
A_c103		Encounter	["encounter"]	["0028-a", "0028-b"]
A_c511		Individual characteristic	["patient characteristic"]	["0028-a"]
A_c422		Individual characteristic	["patient characteristic"]	["0028-a", "0028-b"]
A_c423		Medication	["medication active", "medication order"]	["0028-b"]
A_c424		Procedure	["procedure performed"]	["0028-b"]
A_c509		Procedure	["procedure performed"]	["0028-b"]
A_c425		Procedure	["procedure performed"]	["0028-b"]
N_c46		Procedure	["procedure performed"]	["0031"]
N_c77		Procedure	["procedure performed"]	["0031"]
N_c83		Procedure	["procedure performed"]	["0031"]
N_c443		Procedure	["procedure performed"]	["0031"]
N_c81		Diagnostic study	["diagnostic study performed"]	["0031"]
N_c82		Diagnostic study	["diagnostic study performed"]	["0031"]
N_c444		Diagnostic study	["diagnostic study performed"]	["0031"]
N_c72		Diagnostic study	["diagnostic study performed"]	["0031"]
N_c73		Diagnostic study	["diagnostic study performed"]	["0031"]
N_c74		Diagnostic study	["diagnostic study performed"]	["0031"]
N_c79		Procedure	["procedure performed"]	["0031"]
N_c80		Procedure	["procedure performed"]	["0031"]
N_c85		Procedure	["procedure performed"]	["0031"]
N_c445		Procedure	["procedure performed"]	["0031"]
N_c273		Procedure	["procedure performed"]	["0032"]
N_c446		Procedure	["procedure performed"]	["0032"]
N_c275		Procedure	["procedure performed"]	["0032"]
N_c274		Procedure	["procedure performed"]	["0032"]
N_c276		Procedure	["procedure performed"]	["0032"]
N_c277		Laboratory test	["laboratory test result"]	["0032"]
N_c447		Laboratory test	["laboratory test result"]	["0032"]
N_c278		Laboratory test	["laboratory test result"]	["0032"]
N_c280		Encounter	["laboratory test result"]	["0032"]
N_c279		Encounter	["laboratory test result"]	["0032"]
N_c282		Laboratory test	["laboratory test result"]	["0032"]
N_c283		Laboratory test	["laboratory test result"]	["0032"]
N_c218		Laboratory test	["laboratory test performed"]	["0033"]
N_c220		Laboratory test	["laboratory test result"]	["0033"]
N_c486		Laboratory test	["laboratory test result"]	["0033"]
N_c219		Laboratory test	["laboratory test result"]	["0033"]
N_c528		Communication	["communication to patient"]	["0033"]
N_c206		Medication	["medication dispensed", "medication order", "medication active"]	["0033"]
N_c312		Device	["device applied", "device allergy"]	["0033"]
N_c210		Laboratory test	["laboratory test performed"]	["0033"]
N_c518		Laboratory Test	["laboratory test performed"]	["0033"]
N_c525		Laboratory test	["laboratory test performed"]	["0033"]
N_c212		Laboratory test	["laboratory test performed", "laboratory test result"]	["0033"]
N_c214		Laboratory test	["laboratory test performed", "laboratory test result"]	["0033"]
N_c526		Laboratory test	["laboratory test performed", "laboratory test result"]	["0033"]
N_c487		Procedure	["procedure performed"]	["0033"]
N_c208		Procedure	["procedure performed"]	["0033"]
N_c209		Procedure	["procedure performed"]	["0033"]
N_c207		Procedure	["procedure performed"]	["0033"]
N_c217		Medication	["medication dispensed", "medication order", "medication active"]	["0033"]
N_c580		Diagnosis / Condition / Problem	["diagnosis active"]	["0033"]
N_c591		Diagnosis / Condition / Problem	["diagnosis active"]	["0033"]
N_c581		Diagnosis / Condition / Problem	["diagnosis active"]	["0033"]
N_c416		Diagnosis / Condition / Problem	["diagnosis active"]	["0033"]
N_c527		Diagnostic study	["diagnostic study result", "diagnostic study performed"]	["0033"]
N_c215		Diagnostic study	["diagnostic study result", "diagnostic study performed"]	["0033"]
N_c516		Diagnostic Study	["diagnostic study performed"]	["0033"]
N_c18		Procedure	["procedure performed"]	["0034"]
N_c481		Procedure	["procedure performed"]	["0034"]
N_c32		Procedure	["procedure performed"]	["0034"]
N_c44		Procedure	["procedure performed"]	["0034"]
N_c33		Procedure	["procedure performed"]	["0034"]
N_c39		Procedure	["procedure performed"]	["0034"]
N_c482		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive", "diagnosis resolved"]	["0034"]
N_c34		Diagnostic study	["diagnosis inactive", "diagnosis resolved", "diagnosis active"]	["0034"]
N_c43		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis resolved", "diagnosis inactive"]	["0034"]
N_c520		Diagnosis / Condition / Problem	["diagnosis active"]	["0034"]
N_c20		Diagnosis / Condition / Problem	["diagnosis inactive", "diagnosis resolved", "diagnosis active"]	["0034"]
N_c29		Procedure	["procedure performed"]	["0034"]
N_c483		Procedure	["procedure performed"]	["0034"]
N_c30		Procedure	["procedure performed"]	["0034"]
N_c31		Procedure	["procedure performed"]	["0034"]
N_c38		Procedure	["procedure performed"]	["0034"]
N_c13		Laboratory test	["laboratory test performed"]	["0034"]
N_c484		Laboratory test	["laboratory test performed"]	["0034"]
N_c17		Laboratory test	["laboratory test performed"]	["0034"]
N_c15		Procedure	["laboratory test performed"]	["0034"]
N_c16		Laboratory test	["laboratory test performed"]	["0034"]
N_c14		Laboratory test	["laboratory test performed"]	["0034"]
N_c36		Procedure	["procedure performed"]	["0034"]
N_c485		Procedure	["procedure performed"]	["0034"]
N_c37		Procedure	["procedure performed"]	["0034"]
N_c21		Procedure	["procedure performed"]	["0034"]
N_c452		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c553		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c232		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c231		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c296		Medication	["medication active", "medication order", "medication dispensed"]	["0036"]
N_c297		Medication	["medication active", "medication order", "medication dispensed"]	["0036"]
N_c453		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c176		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c221		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c223		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c454		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c556		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c226		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c225		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c455		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c559		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c230		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c229		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c456		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c560		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c228		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c227		Diagnosis / Condition / Problem	["diagnosis active"]	["0036"]
N_c26		Encounter	["encounter"]	["0036", "0055", "0056", "0059", "0061", "0062", "0064", "0068", "0073", "0075", "0105", "0575"]
N_c299		Medication	["medication order", "medication active", "medication dispensed"]	["0036"]
N_c298		Medication	["medication active", "medication order", "medication dispensed"]	["0036"]
N_c300		Medication	["medication order", "medication active", "medication dispensed"]	["0036"]
N_c301		Medication	["medication active", "medication order", "medication dispensed"]	["0036"]
N_c302		Medication	["medication order", "medication active", "medication dispensed"]	["0036"]
N_c303		Medication	["medication active", "medication order", "medication dispensed"]	["0036"]
N_c304		Medication	["medication active", "medication order", "medication dispensed"]	["0036"]
N_c505		Medication	["medication allergy"]	["0038"]
N_c1086		Substance	["substance allergy"]	["0038"]
N_c596		Diagnosis / Condition / Problem	["diagnosis inactive", "diagnosis active"]	["0038"]
N_c252		Diagnosis / Condition / Problem	["diagnosis inactive", "diagnosis active"]	["0038"]
N_c340		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive"]	["0038"]
N_c491		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive"]	["0038"]
N_c1040		Procedure	["procedure performed"]	["0038"]
N_c1041		Procedure	["procedure performed"]	["0038"]
N_c1071		Procedure	["procedure performed"]	["0038"]
N_c406		Medication	["medication allergy", "medication administered"]	["0038"]
N_c246		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c502		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c247		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c492		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c561		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c359		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c531		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c360		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c1043		Procedure	["procedure performed"]	["0038"]
N_c1042		Procedure	["procedure performed"]	["0038"]
N_c1072		Procedure	["procedure performed"]	["0038"]
N_c419		Medication	["medication allergy", "medication administered"]	["0038"]
N_c353		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis resolved"]	["0038"]
N_c352		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis resolved"]	["0038"]
N_c562		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis resolved"]	["0038"]
N_c532		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis resolved"]	["0038"]
N_c1045		Procedure	["procedure performed"]	["0038"]
N_c1073		Procedure	["procedure performed"]	["0038"]
N_c1044		Procedure	["procedure performed"]	["0038"]
N_c418		Medication	["medication allergy", "medication administered"]	["0038"]
N_c409		Medication	["medication administered", "medication allergy"]	["0038"]
N_c1047		Procedure	["procedure performed"]	["0038"]
N_c1074		Procedure	["procedure performed"]	["0038"]
N_c1046		Procedure	["procedure performed"]	["0038"]
N_c490		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c251		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c250		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c338		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c249		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c493		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c248		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c563		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c1075		Procedure	["procedure performed"]	["0038"]
N_c1048		Procedure	["procedure performed"]	["0038"]
N_c1049		Procedure	["procedure performed"]	["0038"]
N_c423		Medication	["medication allergy", "medication administered"]	["0038"]
N_c407		Medication	["medication allergy", "medication administered"]	["0038"]
N_c1051		Procedure	["procedure performed"]	["0038"]
N_c1050		Procedure	["procedure performed"]	["0038"]
N_c1076		Procedure	["procedure performed"]	["0038"]
N_c341		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c255		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c494		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c256		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c595		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c569		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c568		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c508		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c1054		Procedure	["procedure performed"]	["0038"]
N_c1078		Procedure	["procedure performed"]	["0038"]
N_c1055		Procedure	["procedure performed"]	["0038"]
N_c317		Medication	["medication allergy", "medication administered"]	["0038"]
N_c1079		Procedure	["procedure performed"]	["0038"]
N_c1056		Procedure	["procedure performed"]	["0038"]
N_c1057		Procedure	["procedure performed"]	["0038"]
N_c408		Medication	["medication administered", "medication allergy"]	["0038"]
N_c570		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c495		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c254		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c253		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c272		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c598		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c572		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c571		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c1080		Procedure	["procedure performed"]	["0038"]
N_c1058		Procedure	["procedure performed"]	["0038"]
N_c1059		Procedure	["procedure performed"]	["0038"]
N_c530		Medication	["medication administered", "medication allergy"]	["0038"]
N_c510		Medication	["medication allergy"]	["0038"]
N_c1081		Procedure	["procedure performed"]	["0038"]
N_c1061		Procedure	["procedure performed"]	["0038", "0043"]
N_c1060		Procedure	["procedure performed"]	["0038", "0043"]
N_c421		Medication	["medication administered", "medication allergy"]	["0038", "0043"]
N_c511		Medication	["medication allergy"]	["0038"]
N_c336		Diagnosis / Condition / Problem	["diagnosis active"]	["0038"]
N_c1062		Procedure	["procedure performed"]	["0038"]
N_c1082		Procedure	["procedure performed"]	["0038"]
N_c1063		Procedure	["procedure performed"]	["0038"]
N_c314		Medication	["medication allergy", "medication administered"]	["0038"]
N_c512		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c597		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c579		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c577		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c1065		Procedure	["procedure performed"]	["0038"]
N_c1064		Procedure	["procedure performed"]	["0038"]
N_c1083		Procedure	["procedure performed"]	["0038"]
N_c346		Medication	["medication administered", "medication allergy"]	["0038"]
N_c513		Medication	["medication allergy"]	["0038"]
N_c583		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c514		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c585		Diagnosis / Condition / Problem	["diagnosis resolved"]	["0038"]
N_c1066		Procedure	["procedure performed"]	["0038"]
N_c1084		Procedure	["procedure performed"]	["0038"]
N_c1067		Procedure	["procedure performed"]	["0038"]
N_c420		Medication	["medication allergy", "medication administered"]	["0038"]
A_c510		Substance	["substance allergy"]	["0041"]
A_c206		Substance	["substance allergy"]	["0041"]
A_c208		Substance	["substance allergy"]	["0041"]
A_c457		Encounter	["encounter"]	["0041"]
A_c454		Encounter	["encounter"]	["0041"]
A_c109		Encounter	["encounter"]	["0041"]
A_c402		Procedure	["procedure adverse event", "procedure intolerance", "procedure performed"]	["0041"]
A_c199		Procedure	["procedure performed"]	["0041"]
A_c456		Procedure	["procedure performed"]	["0041"]
A_c204		Medication	["medication administered", "medication intolerance", "medication adverse event", "medication allergy"]	["0041"]
A_c460		Negation Rationale	["medication not done"]	["0041"]
A_c461		Negation Rationale	["medication not done"]	["0041"]
N_c1068		Procedure	["procedure performed"]	["0043"]
N_c1069		Procedure	["procedure performed"]	["0043"]
N_c1070		Procedure	["procedure performed"]	["0043"]
N_c1087		Medication	["medication administered"]	["0043"]
N_c1088		Medication	["medication administered"]	["0043"]
A_c363		Diagnosis / Condition / Problem	["diagnosis active"]	["0047"]
A_c100		Diagnosis / Condition / Problem	["diagnosis active"]	["0047"]
A_c101		Diagnosis / Condition / Problem	["diagnosis active"]	["0047"]
A_c144		Medication	["medication allergy", "medication adverse event", "medication intolerance", "medication active", "medication order"]	["0047"]
A_c364		Negation Rationale	["medication not done"]	["0047"]
A_c317		Negation Rationale	["medication not done"]	["0047"]
N_c324		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c589		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c557		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c555		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c534		Encounter	["encounter"]	["0052"]
N_c533		Encounter	["encounter"]	["0052"]
N_c329		Diagnostic study	["diagnostic study performed"]	["0052"]
N_c457		Diagnostic study	["diagnostic study performed"]	["0052"]
N_c330		Diagnostic study	["diagnostic study performed"]	["0052"]
N_c327		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c566		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c565		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c458		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c323		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c322		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c567		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c328		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c590		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c576		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c575		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c459		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c326		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c325		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c582		Diagnosis / Condition / Problem	["diagnosis active"]	["0052"]
N_c50		Medication	["medication active", "medication order", "medication dispensed"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c51		Medication	["medication active", "medication order", "medication dispensed"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c54		Medication	["medication dispensed", "medication active", "medication order"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c305		Medication	["medication active", "medication order", "medication dispensed"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
N_c438		Medication	["medication dispensed", "medication order", "medication active"]	["0055", "0056", "0059", "0061", "0062", "0064", "0575"]
